paper_id,Title,pdf_file,Citation count,Publisher,Institution name,Institution UKPRN code,Main panel,Unit of assessment name,Open access status,Year
P006097,"A general reinforcement learning algorithm that masters chess, shogi, and Go through self-play",P006097.pdf,306.0,Unknown,university college london,10007784,B,computer science and informatics,Exception within 3 months of publication,2018
P006111,A Generalised Approach for Encoding and Reasoning with Qualitative Theories in Answer Set Programming,P006111.pdf,0.0,Unknown,the university of huddersfield,10007148,B,computer science and informatics,Compliant,2020
P006119,A generalised quantifier theory of natural language in categorical compositional distributional semantics with bialgebras,P006119.pdf,1.0,Unknown,university college london,10007784,B,computer science and informatics,Technical exception,2019
P006159,A genetic programming approach to development of clinical prediction models: a case study in symptomatic cardiovascular disease,P006159.pdf,2.0,Unknown,cardiff university / prifysgol caerdydd,10007814,B,computer science and informatics,Compliant,2018
P006334,A Graph-Based Framework for the Analysis of Access Control Policies,P006334.pdf,3.0,Unknown,king's college london,10003645,B,computer science and informatics,Compliant,2016
P006365,A group decision making model for partially ordered preference under uncertainty,P006365.pdf,12.0,Unknown,middlesex university,10004351,B,computer science and informatics,Out of scope for open access requirements,2014
P006459,A Hierarchical Predictive Coding Model of Object Recognition in Natural Images,P006459.pdf,29.0,Unknown,king's college london,10003645,B,computer science and informatics,Compliant,2016
P006514,A Highly Effective and Robust Membrane Potential-Driven Supervised Learning Method for Spiking Neurons,P006514.pdf,12.0,Unknown,university of northumbria at newcastle,10001282,B,computer science and informatics,Compliant,2018
P006596,A Holistic Visual Place Recognition Approach Using Lightweight CNNs for Significant ViewPoint and Appearance Changes,P006596.pdf,5.0,Unknown,the university of essex,10007791,B,computer science and informatics,Compliant,2019
P006626,A hybrid AI approach for supporting clinical diagnosis of attention deficit hyperactivity disorder (ADHD) in adults,P006626.pdf,0.0,Unknown,the university of huddersfield,10007148,B,computer science and informatics,Compliant,2020
P006643,A hybrid deep learning neural approach for emotion recognition from facial expressions for socially assistive robots,P006643.pdf,9.0,Unknown,leeds beckett university,10003861,B,computer science and informatics,Compliant,2018
P006648,A Hybrid Hierarchical Framework for Gym Physical Activity Recognition and Measurement Using Wearable Sensors,P006648.pdf,17.0,Unknown,liverpool john moores university,10003957,B,computer science and informatics,Compliant,2018
P006670,A hybrid patient-specific biomechanical model based image registration method for the motion estimation of lungs,P006670.pdf,13.0,Unknown,loughborough university,10004113,B,computer science and informatics,Deposit exception,2017
P006671,A hybrid patient-specific biomechanical model based image registration method for the motion estimation of lungs,P006671.pdf,13.0,Unknown,manchester metropolitan university,10004180,B,computer science and informatics,Compliant,2017
